x	y	cluster	words
-20.15977	-51.38359	10	shown
41.427246	14.010515	5	does
0.21770781	-33.893864	0	agreed
-8.100757	56.45783	12	protect
2.72724	6.2689095	12	proposed
-39.825005	26.776314	19	emphatic
-52.71148	-9.406272	2	diffident
-52.974133	-18.48278	10	dish
-5.5075645	-0.22448638	19	graciousness
-37.985092	26.2706	12	ours
-50.90297	-5.017312	10	practice
42.240437	22.889772	12	Mamma
26.243969	-0.0704487	12	corrupt
-1.4129641	18.182146	10	candour
-15.036516	46.576485	2	construed
35.82943	30.162708	12	travellers
-31.679585	34.78758	2	cultivation
29.983057	-10.820777	0	quitted
42.926346	14.873394	2	Cheapside
0.7050274	11.911822	2	acceding
-32.238518	36.39841	12	settlements
-45.095142	5.8696203	19	conditionally
-48.79099	-12.586219	19	redress
7.5035086	-21.25827	0	display
28.640965	-6.744566	17	London
25.347004	6.3241663	12	unaffected
-37.572025	-48.39859	2	barouche-box
35.23686	33.675556	2	Archbishop
-2.636286	-6.7986274	18	appearing
-47.143394	17.78906	19	gracefully
-50.632145	-34.152046	12	suspect
-26.372015	-46.827785	19	tithes
1.3684886	10.561498	19	acquainting
-50.308853	2.657003	0	parts
-15.962853	48.8268	19	nicely
-33.565704	-42.312664	2	blamelessness
10.395574	26.261995	19	comprehension
-41.756992	-34.933285	8	drew
4.969671	-24.00574	12	hat
34.283432	43.185993	2	regrets
27.381853	5.519135	2	satisfactions
3.041004	14.266905	2	inheriting
-37.864407	-45.648262	2	racked
18.578726	26.659521	2	commercial
-2.456705	-26.779945	3	engaged
-49.6737	-8.220379	0	suit
-44.14347	19.267773	10	playing
8.256662	24.894701	0	impatient
24.443726	37.12774	2	designing
0.99046206	-23.812227	19	Merely
-19.341488	43.314377	19	tenant
-48.60767	-16.319399	12	current
-7.18858	-35.82135	0	Of
5.467339	-14.565958	8	Literary
30.848457	29.692518	2	heaven
45.45806	27.791107	10	advise
21.989477	35.46916	8	astonishment
-34.69771	-33.402325	0	temptation
42.912113	8.158274	2	kissed
20.812376	32.475834	12	END
53.380447	31.824966	12	incivility
-6.2547536	55.65983	14	Hurst
-48.24378	-20.604797	2	nerves
42.81666	25.738464	2	discussed
-13.743445	-43.236656	10	individual
41.709213	4.55806	19	_Mr
-54.639206	-18.575636	2	32
13.774121	23.846941	14	fear
-48.240696	-22.090416	2	unprotected
0.09913458	-0.9183629	2	Three
-10.989728	-49.23178	2	half-past
-26.530886	38.965076	2	goodwill
-13.044385	53.80703	2	amply
-22.737612	41.491623	10	pretensions
23.193094	19.580711	10	secretly
25.433977	17.157684	12	red
46.341827	40.215347	2	deserts
-30.379305	35.80111	14	intended
-9.166121	-42.131668	14	vanity
5.06608	-5.6167808	12	incumbent
-0.5939514	5.266801	8	anyone
-33.558537	-46.58108	2	utterly
0.9925875	-22.592703	12	restoration
7.612649	11.396462	19	cutting
-5.0520067	55.725372	19	board
43.338356	39.716057	19	exultation
0.95077026	-38.953533	0	fast
-11.399815	-32.837017	2	authoritative
50.707516	8.092384	2	foul
-51.243256	5.2066236	2	unembarrassed
-14.570904	-43.789234	12	justly
44.5242	38.653164	2	_wished_
-10.180212	-42.218357	12	irritable
20.782501	32.132816	19	abrupt
21.485548	20.917671	12	perseverance
-43.293262	-43.605152	6	because
-45.29185	16.743227	12	worked
42.877754	3.4612153	12	proceed
22.756723	-4.4666038	19	Dining
1.8349446	-9.643566	11	He
-9.190462	-40.672607	12	include
-15.445305	-31.017094	2	imitated
29.818916	4.295524	2	designedly
-48.150043	-24.34978	17	We
35.915894	41.148525	2	horrible
34.144417	41.451588	2	petition
18.584074	1.8916008	10	nervous
8.738453	10.458494	8	delight
3.6129498	-26.58437	12	glazing
-2.5406418	-31.112587	19	Almost
-2.8755922	-16.136301	8	sentence
7.213894	-13.064154	2	darling
-11.1451645	58.873226	12	tidings
-7.6552114	-39.51047	19	_tolerable_
-31.67538	38.171677	2	discontented
-9.480162	-41.37378	2	indulging
-7.8141394	-46.097862	19	sakes
-42.791637	-39.28285	19	parading
-45.04388	-20.735228	10	severe
-1.8958889	-12.196278	3	honour
18.871216	27.65657	2	negligence
-9.861225	-30.203886	16	friend
26.800478	-4.933158	12	additions
24.422468	-8.198408	8	concern
-34.34476	30.15838	10	increase
-2.9462662	-25.637024	3	asked
4.941661	-10.698168	12	savours
-18.834908	-48.443935	19	loo
1.9555733	18.121317	19	ensuing
17.124937	-10.550395	2	distinguish
14.404473	-3.036133	12	_have_
-51.029667	2.3109386	2	degradation
40.90651	33.42685	11	however
0.51044333	-14.877295	19	equals
-2.1449273	-17.97095	2	_affect_
2.5437632	23.322037	19	objected
33.215485	11.759685	2	rattle
19.817102	34.038815	2	reconciled
-53.58164	-16.677002	2	bye
1.28815	-9.628335	2	captivation
-33.714813	25.29856	18	wishing
41.162357	-4.5145345	2	ugly
3.662566	-32.867504	2	sitting-room
23.278288	34.43503	19	sofas
30.573317	29.231455	18	wild
-6.5423512	-28.77734	2	remove
50.55963	23.464521	0	finally
-14.431091	-38.76257	10	human
10.701123	-16.270056	12	requirements
-13.193869	52.299953	2	valueless
1.8448863	12.43928	12	finish
48.68513	29.59637	2	clerical
-50.39375	-24.832281	0	quest
24.703793	6.625864	2	deliberately
26.225311	0.8989515	1	great
42.690445	26.944439	12	THERE
32.32683	32.45436	19	habitual
19.499664	14.878507	19	duration
-54.282234	-12.249179	12	depending
-5.801491	-22.145557	18	declared
31.39113	24.860096	18	While
22.978071	28.832474	12	colouring
-30.688898	-37.014477	2	happens
19.026247	24.27257	2	brings
-39.441505	20.047249	10	formats
-38.236557	-39.06848	2	meets
27.577335	1.6385598	2	discourage
-50.987347	-26.666868	17	acquaintance
-19.699156	-37.0453	12	mirth
22.634636	11.690878	10	pages
25.97236	33.97945	12	union
-51.557228	0.05392988	3	head
-3.736426	-22.708311	12	destroyed
48.403286	20.325727	19	appeased
10.012936	1.0350957	19	conjunction
13.292119	3.2141855	10	quartered
-4.322939	-26.462982	2	despising
12.700746	11.911302	12	price
0.06072215	1.4058077	10	Lake
-42.961067	-34.65034	19	irreligious
29.388407	37.754055	2	rectitude
9.967212	-11.811647	8	THIS
24.865093	8.314077	12	coachman
57.953613	28.782503	19	closer
38.138653	33.240276	2	warned
-1.9007583	-23.933168	2	Arguments
27.725445	18.201965	2	packing
34.095898	13.198219	18	Such
-29.125574	-51.709793	10	calculated
